Date,DAY,MONTH,YEAR,Open,Close
12-01-2015,12,1,2015,17742.05078,17640.83984
09-01-2015,9,1,2015,17911.01953,17737.36914
08-01-2015,8,1,2015,17591.9707,17907.86914
07-01-2015,7,1,2015,17374.7793,17584.51953
06-01-2015,6,1,2015,17504.17969,17371.64063
05-01-2015,5,1,2015,17821.30078,17501.65039
02-01-2015,2,1,2015,17823.07031,17832.99023
31-12-2014,31,12,2014,17987.66016,17823.07031
30-12-2014,30,12,2014,18035.01953,17983.07031
29-12-2014,29,12,2014,18046.58008,18038.23047
26-12-2014,26,12,2014,18038.30078,18053.71094
24-12-2014,24,12,2014,18035.73047,18030.21094
23-12-2014,23,12,2014,17971.50977,18024.16992
22-12-2014,22,12,2014,17812.25,17959.43945
19-12-2014,19,12,2014,17778.01953,17804.80078
18-12-2014,18,12,2014,17367.84961,17778.15039
17-12-2014,17,12,2014,17069.16016,17356.86914
16-12-2014,16,12,2014,17173.07031,17068.86914
15-12-2014,15,12,2014,17285.74023,17180.83984
12-12-2014,12,12,2014,17590.05078,17280.83008
11-12-2014,11,12,2014,17534.30078,17596.33984
10-12-2014,10,12,2014,17797.99023,17533.15039
09-12-2014,9,12,2014,17847.36914,17801.19922
08-12-2014,8,12,2014,17954.93945,17852.48047
05-12-2014,5,12,2014,17903.05078,17958.78906
04-12-2014,4,12,2014,17910.01953,17900.09961
03-12-2014,3,12,2014,17880.90039,17912.61914
02-12-2014,2,12,2014,17778.84961,17879.55078
01-12-2014,1,12,2014,17827.26953,17776.80078
28-11-2014,28,11,2014,17830.55078,17828.24023
26-11-2014,26,11,2014,17812.25,17827.75
25-11-2014,25,11,2014,17819.05078,17814.93945
24-11-2014,24,11,2014,17812.63086,17817.90039
21-11-2014,21,11,2014,17721.01953,17810.06055
20-11-2014,20,11,2014,17677.32031,17719
19-11-2014,19,11,2014,17685.50977,17685.73047
18-11-2014,18,11,2014,17643.08984,17687.82031
17-11-2014,17,11,2014,17631.84961,17647.75
14-11-2014,14,11,2014,17653.10938,17634.74023
13-11-2014,13,11,2014,17618.68945,17652.78906
12-11-2014,12,11,2014,17604.75,17612.19922
11-11-2014,11,11,2014,17615.64063,17614.90039
10-11-2014,10,11,2014,17568.98047,17613.74023
07-11-2014,7,11,2014,17558.58008,17573.92969
06-11-2014,6,11,2014,17491.66016,17554.4707
05-11-2014,5,11,2014,17385.75977,17484.5293
04-11-2014,4,11,2014,17368.81055,17383.83984
03-11-2014,3,11,2014,17390.90039,17366.24023
